Codepoint,Hanzi,pinyin,Traditional Variant,Simplified Variant,Definition
U+8A66,試,shì,,试,"test, try, experiment"
U+8A69,詩,shī,,诗,"poetry; poem, verse, ode"
U+8A6E,詮,quán,,诠,"explain, expound, comment on"
U+8A71,話,huà,,话,"speech, talk, language; dialect"
U+8A72,該,gāi,,该,"should, ought to, need to"
U+8A73,詳,xiáng,,详,"detailed, complete, thorough"
U+8A79,詹,zhān,,,"surname; talk too much, verbose"
U+8A7C,詼,huī,,诙,"tease, joke with; ridicule, mock"
U+8A87,誇,kuā,,夸,"exaggerate; brag, boast; flaunt"
U+8A89,誉,yù,"誉,譽",誉,"fame, reputation; praise"
U+8A8A,誊,téng,謄,,"copy, transcribe"
U+8A8C,誌,zhì,,"志,𰵧",write down; record; magazine
U+8A8D,認,rèn,,认,"recognize, know, understand"
U+8A93,誓,shì,,,"swear, pledge; oath"
U+8A95,誕,dàn,,诞,"to bear children, give birth; birth"
U+8A98,誘,yòu,,诱,"persuade, entice, induce; guide"
U+8A9E,語,yǔ,,语,"language, words; saying, expression"
U+8AA0,誠,chéng,,诚,"sincere, honest; true, real"
U+8AA1,誡,jiè,,诫,"warn, admonish; warning"
U+8AA4,誤,wù,,误,"err, make mistake; interfere"
U+8AA6,誦,sòng,,诵,"recite, chant, repeat"
U+8AA8,誨,huì,,诲,"teach, instruct; encourage, urge"
U+8AAA,說,shuō,,说,"speak, say, talk; scold, upbraid"
U+8AAC,説,shuō,,说,speak
U+8AB0,誰,shuí shéi,,谁,who? whom? whose? anyone?
U+8AB2,課,kè,,课,lesson; course; classwork
U+8AB9,誹,fěi,,诽,"slander, vilify, condemn"
U+8ABC,誼,yì,,谊,"friendship; appropriate, suitable"
U+8ABF,調,diào,,调,"transfer, move, change; tune"
U+8AC7,談,tán,,谈,talk; conversation; surname
U+8AC9,諉,wěi,,诿,"pass buck, lay blame on others"
U+8ACB,請,qǐng,,请,"ask, request; invite; please"
U+8AD2,諒,liàng,,谅,"excuse, forgive; guess, presume"
U+8AD6,論,lùn,,论,debate; discuss; discourse
U+8ADC,諜,dié,,谍,an intelligence report; to spy; spying
U+8AE1,諡,shì,,,"posthumous name, posthumous title"
U+8AE6,諦,dì,,谛,"careful, attentive"
U+8AE7,諧,xié,,谐,"harmonize, agree; joke, jest"
U+8AED,諭,yù,,谕,"proclaim, instruct; edict"
U+8AEE,諮,zī,,谘,"consult, confer; communicate in"
U+8AF7,諷,fěng fèng,,讽,"recite, incant; satirize"
U+8AF8,諸,zhū,,诸,"several, various"
U+8AFA,諺,yàn,,谚,"proverb, maxim"
U+8AFE,諾,nuò,,诺,"promise; assent, approve"
U+8B00,謀,móu,,谋,"plan, scheme; stratagem"
U+8B01,謁,yè,,谒,"visit, pay respects to"
U+8B02,謂,wèi,,谓,"say, tell; call, name; be called"
U+8B07,謇,jiǎn,,,stutter; speak out boldly
U+8B0A,謊,huǎng,,谎,lie
U+8B0E,謎,mí,,谜,"riddle, conundrum; puzzle"
U+8B10,謐,mì,,谧,"calm, quiet, still; cautious"
U+8B17,謗,bàng,,谤,"slander, libel"
U+8B19,謙,qiān,,谦,"humble, modest; hexagram ䷎"
U+8B1B,講,jiǎng,,讲,explain; discuss; talk
U+8B1D,謝,xiè,,谢,thank; decline
U+8B20,謠,yáo,,谣,"sing; folksong, ballad; rumor"
U+8B2B,謫,zhé,,谪,"charge, blame; disgrace; demote; punish"
U+8B2C,謬,miù,,谬,"error, exaggeration; erroneous"
U+8B39,謹,jǐn,,谨,"prudent, cautious; attentive"
U+8B41,譁,huá,,,"noise, uproar; clamor, hubbub"
U+8B49,證,zhèng,,证,"proof, evidence; testify, verify"
U+8B58,識,shí shì,,识,"recognize, understand, know"
U+8B5A,譚,tán,,谭,surname; to talk
U+8B5C,譜,pǔ,,谱,"register, list, table; musical score"
U+8B66,警,jǐng,,,"guard, watch; alert, alarm"
U+8B6C,譬,pì,,,"metaphor, simile, example"
U+8B6F,譯,yì,,译,translate; decode; encode
U+8B70,議,yì,,议,"consult, talk over, discuss"
U+8B74,譴,qiǎn,,谴,"reprimand, scold, abuse"
U+8B77,護,hù,,护,"protect, guard, defend, shelter"
U+8B7D,譽,yù,,誉,"fame, reputation; praise"
U+8B80,讀,dú,,读,"read, study; pronounce"
U+8B8A,變,biàn,,变,"change, transform, alter; rebel"
U+8B93,讓,ràng,,让,"allow, permit, yield, concede"
U+8B9A,讚,zàn,,𬤮,"praise, commend, eulogize"
U+8BA0,讠,yán,訁,,simplified Kangxi radical 149
U+8BA1,计,jì,計,,"plan, plot; stratagem; scheme"
U+8BA2,订,dìng,訂,,draw up agreement; arrange
U+8BA3,讣,fù,訃,,obituary; give notice of death
U+8BA4,认,rèn,認,,"recognize, know, understand"
U+8BA5,讥,jī,譏,,"ridicule, jeer, mock; inspect"
U+8BA6,讦,jié,訐,,"expose other's secrets, pry"
U+8BA8,讨,tǎo,討,,"to discuss; ask for, beg; demand; dun; marry"
U+8BA9,让,ràng,讓,,"allow, permit, yield, concede"
U+8BAC,讬,tuō,託,,"entrust, rely on; commission"
U+8BAD,训,xùn,訓,,"teach, instruct; exegesis"
U+8BAE,议,yì,議,,"consult, talk over, discuss"
U+8BAF,讯,xùn,訊,,inquire; ask; examine; reproach
U+8BB0,记,jì,記,,"record; keep in mind, remember"
U+8BB2,讲,jiǎng,講,,explain; discuss; talk
U+8BB3,讳,huì,諱,,conceal; shun; regard as taboo
U+8BB4,讴,ōu,謳,,sing; songs
U+8BB6,讶,yà,訝,,"express surprise, be surprised"
U+8BB7,讷,nè,訥,,slow of speech; mumble; stammer
U+8BB8,许,xǔ,許,,"allow, permit; promise; betroth"
U+8BB9,讹,é,訛,,"swindle, cheat; erroneous, wrong"
U+8BBA,论,lùn,論,,debate; discuss; discourse
U+8BBC,讼,sòng,訟,,"accuse; argue, dispute; litigate"
U+8BBD,讽,fěng fèng,諷,,"recite, incant; satirize"
U+8BBE,设,shè,設,,build; establish; display
U+8BBF,访,fǎng,訪,,"visit; ask, inquire"
U+8BC0,诀,jué,訣,,"take leave of, bid farewell"
U+8BC1,证,zhèng,證,,"prove, confirm, verify; proof"
U+8BC3,诃,hē,訶,,"scold loudly, curse, abuse"
U+8BC4,评,píng,評,,"appraise, criticize, evaluate"
U+8BC5,诅,zǔ,詛,,"curse; swear, pledge"
U+8BC6,识,shí shì,識,,"recognize, understand, know"
U+8BC8,诈,zhà,詐,,"cheat, defraud, swindle; trick"
U+8BC9,诉,sù,訴,,accuse; sue; inform; narrate
U+8BCA,诊,zhěn,診,,"examine patient, diagnose"
U+8BCB,诋,dǐ,詆,,"slander, condemn, reproach"
U+8BCD,词,cí,詞,,"words; phrase, expression"
U+8BCF,诏,zhào,詔,,"decree, proclaim; imperial decree"
U+8BD1,译,yì,譯,,translate; decode; encode
U+8BD5,试,shì,試,,"test, try, experiment"
U+8BD7,诗,shī,詩,,"poetry; poem, verse, ode"
U+8BD9,诙,huī,詼,,"tease, joke with; ridicule, mock"
U+8BDA,诚,chéng,誠,,"sincere, honest; true, real"
U+8BDB,诛,zhū,誅,,"execute, kill, put to death; punish"
U+8BDD,话,huà,話,,"speech, talk, language; dialect"
U+8BDE,诞,dàn,誕,,"bear children, give birth; birth"
U+8BDF,诟,gòu,詬,,"abuse, scold, berate, insult"
U+8BE0,诠,quán,詮,,"explain, expound, comment on"
U+8BE1,诡,guǐ,詭,,"deceive, cheat, defraud; sly"
U+8BE2,询,xún,詢,,"inquire into, ask about; consult"
U+8BE3,诣,yì,詣,,"reach; achievement, accomplishment"
U+8BE5,该,gāi,該,,"should, ought to, need to"
U+8BE6,详,xiáng,詳,,"detailed, complete, thorough"
U+8BE7,诧,chà,詫,,"be surprised, be shocked"
U+8BE9,诩,xǔ,詡,,"boast, brag; popular, well-known"
U+8BEB,诫,jiè,誡,,"warn, admonish; warning"
U+8BEC,诬,wū,誣,,make false accusation; defame
U+8BED,语,yǔ,語,,"language, words; saying, expression"
U+8BEE,诮,qiào,誚,,"criticize, scold, blame, ridicule"
U+8BEF,误,wù,誤,,"err, make mistake; interfere"
U+8BF1,诱,yòu,誘,,"persuade, entice, induce; guide"
U+8BF2,诲,huì,誨,,"teach, instruct; encourage, urge"
U+8BF4,说,shuō,"說,説",,"speak, say, talk; scold, upbraid"
U+8BF5,诵,sòng,誦,,"recite, chant, repeat"
U+8BF7,请,qǐng,請,,"ask, request; invite; please"
U+8BF8,诸,zhū,諸,,"various, all, these; surname"
U+8BF9,诹,zōu,諏,,"consult, confer; select, choose"
U+8BFA,诺,nuò,諾,,"promise; assent, approve"
U+8BFB,读,dú,讀,,"read, study; pronounce"
U+8BFD,诽,fěi,誹,,"slander, vilify, condemn"
U+8BFE,课,kè,課,,lesson; course; classwork
U+8C01,谁,shéi,誰,,who? whom? whose? anyone?
U+8C03,调,diào,調,,"transfer, move, change; tune"
U+8C04,谄,chǎn,諂,,"flatter, truckle, toady"
U+8C05,谅,liàng,諒,,"excuse, forgive; guess, presume"
U+8C06,谆,zhūn,諄,,"patient, earnest; earnestly"
U+8C08,谈,tán,談,,talk; conversation; surname
U+8C0A,谊,yì,誼,,"friendship; appropriate, suitable"
U+8C0B,谋,móu,謀,,"plan, scheme; stratagem"
U+8C0C,谌,chén,諶,,"sincere, faithful; surname"
U+8C0D,谍,dié,諜,,an intelligence report; to spy; spying
U+8C0E,谎,huǎng,謊,,lie
U+8C0F,谏,jiàn,諫,,"remonstrate, admonish"
U+8C10,谐,xié,諧,,"harmonize, agree; joke, jest"
U+8C12,谒,yè,謁,,"visit, pay respects"
U+8C13,谓,wèi,謂,,"say, tell; call, name; be called"
U+8C15,谕,yù,諭,,"proclaim, instruct; edict"
U+8C18,谘,zī,諮,,"consult, confer; communicate in"
U+8C19,谙,ān,諳,,"versed in, fully acquainted with"
U+8C1A,谚,yàn,諺,,"proverb, maxim"
U+8C1B,谛,dì,諦,,"careful, attentive"
U+8C1C,谜,mí,謎,,"riddle, conundrum; puzzle"
U+8C22,谢,xiè,謝,,thank; decline
U+8C23,谣,yáo,"謠,謡",,"sing; folksong, ballad; rumor"
U+8C24,谤,bàng,謗,,"slander, libel"
U+8C26,谦,qiān,謙,,"humble, modest"
U+8C27,谧,mì,謐,,"calm, quiet, still; cautious"
U+8C28,谨,jǐn,謹,,"prudent, cautious; attentive"
U+8C29,谩,màn,謾,,"deceive, insult"
U+8C2C,谬,miù,謬,,"error, exaggeration; erroneous"
U+8C2D,谭,tán,譚,,surname
U+8C31,谱,pǔ,譜,,"list, table; musical score"
U+8C32,谲,jué,譎,,"cunning, crafty, sly, wily"
U+8C34,谴,qiǎn,譴,,"reprimand, scold, abuse"
U+8C35,谵,zhān,譫,,talkative; incoherent talk
U+8C37,谷,gǔ,"穀,谷",谷,"valley, gorge, ravine; Kangxi radical 150"
U+8C41,豁,huō,,,"open up, clear; exempt"
U+8C46,豆,dòu,,,"beans, peas; bean-shaped; Kangxi radical 151"
U+8C48,豈,qǐ,,岂,how? what?
U+8C49,豉,chǐ,,,fermented beans
U+8C4C,豌,wān,,,peas
U+8C4E,豎,shù,,竖,vertical; perpendicular; upright
U+8C50,豐,fēng,,丰,"abundant, lush, bountiful, plenty; hexagram ䷶"
U+8C54,豔,yàn,,,"plump, voluptuous, beautiful"
U+8C5A,豚,tún,,,"small pig, suckling pig; shuffle one's feet"
U+8C61,象,xiàng,,,"elephant; ivory; figure, image"
U+8C6A,豪,háo,,,"brave, heroic, chivalrous"
U+8C6B,豫,yù,,,"relaxed, comfortable, at ease; hexagram ䷏"
U+8C6C,豬,zhū,,猪,"pig, hog"
U+8C79,豹,bào,,,"leopard, panther; surname"
U+8C7A,豺,chái,,,"wolf; cruel, wicked, mean"
U+8C82,貂,diāo,,,"marten, sable, mink"
U+8C8C,貌,mào,,,"countenance, appearance"
U+8C93,貓,māo,,猫,cat
U+8C98,貘,mò,,,tapir
U+8C9D,貝,bèi,,贝,"sea shell; money, currency; Kangxi radical 154"
U+8C9E,貞,zhēn,,贞,"virtuous, chaste, pure; loyal"
U+8CA0,負,fù,,负,"load, burden; carry, bear"
U+8CA1,財,cái,,财,"wealth, valuables, riches"
U+8CA2,貢,gòng,,贡,"offer tribute; tribute, gifts"
U+8CA7,貧,pín,,贫,"poor, impoverished, needy"
U+8CA8,貨,huò,,货,"goods, commodities, products"
U+8CA9,販,fàn,,贩,"peddler, hawker, street merchant"
U+8CAA,貪,tān,,贪,"greedy, covet; covetous"
U+8CAB,貫,guàn,,贯,a string of 1000 coins; to go through
U+8CAC,責,zé,,责,"one's responsibility, duty"
U+8CB4,貴,guì,,贵,"expensive, costly, valuable"
U+8CB6,貶,biǎn,,贬,"decrease, lower; censure, criticize"
U+8CB7,買,mǎi,,"买,𧹒","buy, purchase; bribe, persuade"
U+8CB8,貸,dài,,贷,lend; borrow; pardon
U+8CBB,費,fèi,,费,"expenses, expenditures, fee"
U+8CBC,貼,tiē,,贴,"paste to, stick on; attached to"
U+8CBF,貿,mào,,贸,"trade, barter; mixed; rashly"
U+8CC0,賀,hè,,贺,congratulate; send present
U+8CC3,賃,lìn,,赁,"rent, hire; hired person"
U+8CC7,資,zī,,资,property; wealth; capital
U+8CC8,賈,jiǎ,,贾,"surname; merchant; buy, trade"
U+8CCA,賊,zéi,,贼,"thief, traitor"
U+8CD2,賒,shē,,赊,buy and sell on credit; distant
U+8CD3,賓,bīn,,宾,"guest, visitor; surname; submit"
U+8CDC,賜,cì,,赐,"give, bestow favors; appoint"
U+8CDE,賞,shǎng,,赏,"reward, grant, bestow; appreciate"
U+8CE0,賠,péi,,赔,"indemnify, suffer loss"
U+8CE1,賡,gēng,,赓,continue
U+8CE2,賢,xián,,贤,"virtuous, worthy, good; able"
U+8CE3,賣,mài,,卖,sell; betray; show off
U+8CE4,賤,jiàn,,贱,"mean, low; cheap, worthless"
U+8CE6,賦,fù,,赋,tax; give; endow; army; diffuse
U+8CEA,質,zhì,,质,"matter, material, substance"
U+8CEC,賬,zhàng,,"账,𧹔","accounts; bill, debt; credit"
U+8CED,賭,dǔ,,赌,"bet, gamble, wager; compete"
U+8CF4,賴,lài,,赖,"rely, depend on; accuse falsely"
U+8CFA,賺,zhuàn,,赚,"make money, earn; gain, profit"
U+8CFC,購,gòu,,购,"buy, purchase; hire"
U+8CFD,賽,sài,,赛,"compete, contend; contest, race"
U+8D08,贈,zèng,,赠,"give present; bestow, confer"
U+8D0A,贊,zàn,,赞,"help, support, assist, aid"
U+8D0F,贏,yíng,,赢,"win; surplus, gain, profit"
U+8D16,贖,shú,,赎,"buy, redeem; ransom; atone for"
U+8D1B,贛,gàn,,赣,Jiangxi province; places therein
U+8D1D,贝,bèi,貝,,"sea shell; money, currency"
U+8D1E,贞,zhēn,貞,,"virtuous, chaste, pure; loyal"
U+8D1F,负,fù,負,,"load, burden; carry, bear"
U+8D21,贡,gòng,貢,,"offer tribute; tribute, gifts"
U+8D22,财,cái,財,,"wealth, valuables, riches"
U+8D23,责,zé,責,,"one's responsibility, duty"
U+8D24,贤,xián,賢,,"virtuous, worthy, good; able"
U+8D25,败,bài,敗,,"be defeated, decline, fail"
U+8D26,账,zhàng,賬,,"accounts; bill, debt; credit"
U+8D27,货,huò,貨,,"goods, commodities, products"
U+8D28,质,zhì,質,,"matter, material, substance"
U+8D29,贩,fàn,販,,"peddler, hawker, street merchant"
U+8D2A,贪,tān,貪,,"be greedy, covet; covetous"
U+8D2B,贫,pín,貧,,"poor, impoverished, needy"
U+8D2C,贬,biǎn,貶,,"decrease, lower; censure, criticize"
U+8D2D,购,gòu,購,,"buy, purchase; hire"
U+8D2E,贮,zhù,貯,,"store, stockpile, hoard"
U+8D2F,贯,guàn,貫,,a string of 1000 coins; to go through
U+8D31,贱,jiàn,賤,,"mean, low; cheap, worthless"
U+8D32,贲,bēn,賁,,forge ahead; energetic; surname
U+8D34,贴,tiē,貼,,"paste to, stick on; attached to"
U+8D35,贵,guì,貴,,"expensive, costly, valuable"
U+8D37,贷,dài,貸,,lend; borrow; pardon
U+8D38,贸,mào,貿,,"trade, barter; mixed; rashly"
U+8D39,费,fèi,費,,"expenses, expenditures, fee"
U+8D3A,贺,hè,賀,,congratulate; send present
U+8D3B,贻,yí,貽,,"give to, hand down, bequeath"
U+8D3C,贼,zéi,賊,,"thief, traitor; kill"
U+8D3E,贾,jiǎ,賈,,"surname; merchant; buy, trade"
U+8D3F,贿,huì,賄,,"bribe; bribes; riches, wealth"
U+8D41,赁,lìn,賃,,"rent, hire; hired person"
U+8D42,赂,lù,賂,,bribe; give present
U+8D43,赃,zāng,"贓,贜",,"booty, loot, stolen goods; bribe"
U+8D44,资,zī,資,,property; wealth; capital
U+8D48,赈,zhèn,賑,,"relieve, aid distressed; rich"
U+8D4A,赊,shē,賒,,"buy and sell on credit, distant"
U+8D4B,赋,fù,賦,,tax; give; endow; army; diffuse
U+8D4C,赌,dǔ,賭,,"bet, gamble, wager; compete"
U+8D4E,赎,shú,贖,,"buy, redeem; ransom; atone for"
U+8D4F,赏,shǎng,賞,,"reward, grant, bestow; appreciate"
U+8D50,赐,cì,賜,,"give, bestow favors; appoint"
U+8D53,赓,gēng,賡,,continue
U+8D54,赔,péi,賠,,"indemnify, suffer loss"
U+8D56,赖,lài,賴,,"rely, depend on; accuse falsely"
U+8D58,赘,zhuì,贅,,"unnecessary, superfluous"
U+8D5A,赚,zhuàn,賺,,"make money, earn; gain, profit"
U+8D5B,赛,sài,賽,,"compete, contend; contest, race"
U+8D5D,赝,yàn,"贋,贗",,false; counterfeit; bogus; sham
U+8D5E,赞,zàn,贊,,"help, support, assist, aid"
U+8D5F,赟,yūn,贇,,"affable, agreeable, pleasant"
U+8D60,赠,zèng,贈,,"give present; bestow, confer"
U+8D62,赢,yíng,贏,,"win; surplus, gain, profit"
U+8D63,赣,gàn,贛,,Jiangxi province; places therein
U+8D64,赤,chì,,,red; bare; Kangxi radical 155
U+8D66,赦,shè,,,"forgive, remit, pardon"
U+8D6B,赫,hè,,,"bright, radiant, glowing"
U+8D6D,赭,zhě,,,reddish brown; hematite; ochre
U+8D70,走,zǒu,,,"walk, go on foot; run; leave; Kangxi radical 156"
U+8D73,赳,jiū,,,"grand, valiant"
U+8D74,赴,fù,,,"go to; attend, be present"
U+8D75,赵,zhào,趙,,surname; ancient state
U+8D76,赶,gǎn,"赶,趕",赶,"pursue, follow; expel, drive away"
U+8D77,起,qǐ,,,"rise, stand up; go up; begin"
U+8D81,趁,chèn,,,"take advantage of, avail oneself"
U+8D85,超,chāo,,,"jump over, leap over; surpass"
U+8D8A,越,yuè,,,"exceed, go beyond; the more ..."
U+8D8B,趋,qū,"趋,趨",趋,"hasten, hurry; be attracted to"
U+8D95,趕,gǎn,,赶,"pursue, follow; expel, drive away"
U+8D99,趙,zhào,,赵,surname; Warring States-era kingdom in modern Hebei and Shanxi
U+8D9F,趟,tàng,,,"time, occasion; take journey"
U+8DA3,趣,qù,,,what attracts one's attention
U+8DA8,趨,qū,,趋,"hasten, hurry; be attracted to"
U+8DB3,足,zú,,,"foot; attain, satisfy, enough; Kangxi radical 156"
U+8DB4,趴,pā,,,"lying prone, leaning over"
U+8DB5,趵,bào,,,noise of tramping feet
U+8DB8,趸,dǔn,躉,,sell or buy wholesale; store
U+8DBE,趾,zhǐ,,,"toe; tracks, footprints"
U+8DC3,跃,yuè,躍,,"skip, jump, frolic"
U+8DC4,跄,qiàng,蹌,,walk rapidly
U+8DC6,跆,tái,,,trample
U+8DCB,跋,bá,,,"go by foot; epilogue, colophon"
U+8DCC,跌,diē dié,,,"stumble, slip, fall down; stamp"
U+8DD1,跑,pǎo,,,"run, flee, leave in hurry"
U+8DD6,跖,zhí,,,sole (of the foot)
U+8DD7,跗,fū,,,the instep
U+8DDA,跚,shān,,,"stagger, limp"
U+8DDB,跛,bǒ,,,lame
U+8DDD,距,jù,,,distance; bird's spur
U+8DDF,跟,gēn,,,"heel; to follow, accompany; with"
U+8DE1,跡,jī,,迹,"search, track, trace"
U+8DE4,跤,jiāo,,,"stumble, fall down; wrestle"
U+8DE8,跨,kuà,,,"straddle, bestride, ride; carry"
U+8DEA,跪,guì,,,kneel
U+8DEB,跫,qióng,,,sound of footsteps
U+8DEF,路,lù,,,"road, path, street; journey"
U+8DF3,跳,tiào,,,"jump, leap, vault, bounce; dance"
U+8DF5,践,jiàn,踐,,"trample, tread upon, walk on"
U+8DF7,跷,qiāo,蹺,,raise one's foot
U+8DF9,跹,xiān,躚,,"wander about, walk around; revolve"
U+8DFA,跺,duò,,,"stamp feet, step"
U+8DFB,跻,jī,躋,,"ascend, go up, rise"
U+8E05,踅,xué,,,to walk around; turn back midway
U+8E09,踉,liàng,,,"hop, jump; hurriedly, urgently"
U+8E0A,踊,yǒng,"踊,踴",踊,"leap, jump"
U+8E0C,踌,chóu,躊,,"hesitate, falter; smug, self-satisfied"
U+8E0F,踏,tà,,,"step on, trample, tread on, walk"
U+8E10,踐,jiàn,,践,"trample, tread upon, walk on"
U+8E14,踔,chuō,,,to get ahead; to stride; to excel
U+8E1E,踞,jù,,,"crouch, squat; sit, occupy"
U+8E1F,踟,chí,,,"hesitate, undecided; embarrassed"
U+8E22,踢,tī,,,kick
U+8E29,踩,cǎi,,,step on
U+8E2A,踪,zōng,"踪,蹤",踪,"footprints, traces, tracks"
U+8E2E,踮,diǎn,,,tiptoe
U+8E31,踱,duó,,,"stroll, pace, walk slowly"
U+8E34,踴,yǒng,,踊,"leap, jump"
U+8E35,踵,zhǒng,,,"heel; follow; visit, call on"
U+8E39,踹,chuài,,,"trample, tread on, kick; to crush"
U+8E41,蹁,pián,,,to walk with a limp
U+8E42,蹂,róu,,,"trample under foot, tread on"
U+8E44,蹄,tí,,,hoof; horse
U+8E48,蹈,dǎo,,,stamp feet; dance
U+8E4A,蹊,qī,,,"footpath, trail; track"
U+8E52,蹒,pán,蹣,,to jump over; to limp
U+8E5F,蹟,jī,,,"trace, tracks; footprints"
U+8E63,蹣,pán mán,,蹒,to jump over; to limp
U+8E64,蹤,zōng,,"踪,𧿛","footprints, traces, tracks"
U+8E66,蹦,bèng,,,"hop, leap, jump; bright"
U+8E69,蹩,bié,,,to limp
U+8E6C,蹬,dēng dèng,,,"step on, tread on; lose energy"
U+8E6D,蹭,cèng,,,"to shuffle, procrastinate, dilly-dally"
U+8E70,蹰,chú,"蹰,躕",蹰,"hesitate, waver, falter"
U+8E72,蹲,dūn,,,"squat, crouch; idle about"
U+8E74,蹴,cù,,,kick; tread on; leap; solemn
U+8E76,蹶,jué,,,"stumble, fall down; trample"
U+8E7A,蹺,qiāo,,跷,raise one's foot
U+8E7F,蹿,cuān,躥,,leap; to jump; to spurt out
U+8E81,躁,zào,,,"tense, excited, irritable"
U+8E87,躇,chú,,,"hesitate, falter, be undecided"
U+8E8A,躊,chóu,,踌,"hesitate, falter; smug, self-satisfied"
U+8E8B,躋,jī,,跻,"ascend, go up, rise"
U+8E8D,躍,yuè,,跃,"skip, jump, frolic"
U+8E8F,躏,lìn,躪,,"trample down, oppress, overrun"
U+8E9A,躚,xiān,,跹,"wander about, walk around; revolve"
U+8EAB,身,shēn,,,"body; trunk, hull; Kangxi radical 158"
U+8EAC,躬,gōng,,,"body; personally, in person"
U+8EAF,躯,qū,"躯,軀",躯,body
U+8EB2,躲,duǒ,,,"hide, secrete; avoid, escape"
U+8EBA,躺,tǎng,,,"lie down, recline"
U+8EC0,軀,qū,,躯,body
U+8ECA,車,chē,,车,"cart, vehicle; carry in a cart; Kangxi radical 159"
U+8ECB,軋,yà,,轧,crush by weight; grind
U+8ECC,軌,guǐ,,轨,"track, rut, path"
U+8ECD,軍,jūn,,军,"army, military; soldiers, troops"
U+8ED2,軒,xuān,,轩,carriage; high; wide; balcony; surname of the Yellow Emperor
U+8EDF,軟,ruǎn,,软,"soft, flexible, pliable; weak"
U+8EF8,軸,zhóu,,轴,"axle, axletree; pivot; axis"
U+8EFE,軾,shì,,轼,horizontal wooden bar in front of a sedan chair
U+8F03,較,jiào,,较,"compare; comparatively, more"
U+8F09,載,zài,,载,"load; carry; transport, convey"
U+8F12,輒,zhé,,辄,then; each; rack on chariot for luggage or weapons
U+8F14,輔,fǔ,,辅,cheek bone; protective; assist
U+8F15,輕,qīng,,轻,"light; easy, simple; gentle"
U+8F1B,輛,liàng,,辆,numerary adjunct for vehicles
U+8F1D,輝,huī,,辉,"brightness, luster, brilliance"
U+8F1F,輟,chuò,,辍,"stop, suspend, halt"
U+8F25,輥,gǔn,,辊,"turn round, revolve; roller"
U+8F29,輩,bèi,,辈,"generation, lifetime; class"
U+8F2A,輪,lún,,轮,"wheel; revolve, turn; recur"
U+8F2F,輯,jí,,辑,"gather up, collect; edit, compile"
U+8F38,輸,shū,,输,"transport, carry, haul"
U+8F3B,輻,fú,,辐,spokes of wheel
U+8F3E,輾,zhǎn,,辗,"turn over, roll"
U+8F3F,輿,yú,,舆,"cart, palanquin; public opinion"
U+8F44,轄,xiá,,辖,linchpin of wheel; control
U+8F45,轅,yuán,,辕,axle; magistrate's office; surname
U+8F49,轉,zhuǎn,,转,"shift, move, turn"
U+8F4D,轍,zhé,,辙,"wagon ruts, wheel tracks"
U+8F4E,轎,jiào,,轿,"sedan-chair, palanquin"
U+8F5F,轟,hōng,,轰,"rumble, explosion, blast"
U+8F66,车,chē,車,,"cart, vehicle; carry in cart"
U+8F67,轧,yà,軋,,crush by weight; grind
U+8F68,轨,guǐ,軌,,"track, rut, path"
U+8F69,轩,xuān,軒,,carriage; high; wide; balcony
U+8F6C,转,zhuǎn,轉,,"shift, move, turn"
U+8F6D,轭,è,軛,,"yoke, collar"
U+8F6E,轮,lún,輪,,"wheel; revolve, turn; recur"
U+8F6F,软,ruǎn,軟,,"soft, flexible, pliable; weak"
U+8F70,轰,hōng,轟,,"rumble, explosion, blast"
U+8F74,轴,zhóu,軸,,"axle, axletree; pivot; axis"
U+8F76,轶,yì,軼,,"rush forth; surpass, excel"
U+8F7B,轻,qīng,輕,,"light; easy, simple; gentle"
U+8F7C,轼,shì,軾,,horizontal wooden bar in front
U+8F7D,载,zài,載,,"load; carry; transport, convey"
U+8F7F,轿,jiào,轎,,"sedan-chair, palanquin"
U+8F83,较,jiào,較,,"compare; comparatively, more"
U+8F84,辄,zhé,輒,,sides of chariot where weapons
U+8F85,辅,fǔ,輔,,cheek bone; protective; assist
U+8F86,辆,liàng,輛,,numerary adjunct for vehicles
U+8F88,辈,bèi,輩,,"generation, lifetime; class"
U+8F89,辉,huī,輝,,"brightness, luster, brilliance"
U+8F8D,辍,chuò,輟,,"stop, suspend, halt"
U+8F90,辐,fú,輻,,spokes of wheel
U+8F91,辑,jí,輯,,"gather up, collect; edit, compile"
U+8F93,输,shū,輸,,"transport, carry, haul"
U+8F95,辕,yuán,轅,,axle; magistrate's office; surname
U+8F96,辖,xiá,轄,,linchpin of wheel; control
U+8F97,辗,zhǎn,輾,,"turn over, roll"
U+8F99,辙,zhé,轍,,"wagon ruts, wheel tracks"
U+8F9B,辛,xīn,,,"bitter; toilsome, laborious; 8th heavenly stem; Kangxi radical 160"
U+8F9C,辜,gū,,,"crime, criminal offense"
U+8F9E,辞,cí,"辞,辭",辞,"words, speech, expression, phrase"
U+8F9F,辟,pì,"辟,闢",辟,"law, rule; open up, develop"
U+8FA3,辣,là,,,"peppery, pungent, hot; cruel"
U+8FA6,辦,bàn,,办,"manage, do, handle; deal with"
U+8FA8,辨,biàn,,,"distinguish, discriminate"
U+8FA9,辩,biàn,辯,,"dispute, argue, debate, discuss"
U+8FAB,辫,biàn,辮,,"braid; pigtail, plait, queue"
U+8FAD,辭,cí,,辞,"words, speech, expression, phrase"
U+8FAE,辮,biàn,,辫,"braid; pigtail, plait, queue"
